車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5473-YD,78,0,159,121.5029,25.1356,2018/3/12 下午 01:50:31,44,50,100600
5470-YD,78,0,179,121.5029,25.136,2018/3/12 下午 01:52:04,10,50,100600
4412-UY,78,0,324,121.5027,25.1366,2018/3/12 下午 01:52:21,93,50,100600
4490-UW,78,0,198,121.4655,25.1221,2018/3/12 下午 01:52:49,0,50,100600
3663-QH,78,0,64,121.5121,25.1412,2018/3/12 下午 01:54:20,10,50,100600
4388-UY,78,0,133,121.5149,25.1149,2018/3/12 下午 01:54:20,,50,100600
4388-UY,78,0,133,121.5149,25.1149,2018/3/12 下午 01:54:22,,50,100600
5471-YD,78,0,66,121.4844,25.1377,2018/3/12 下午 01:56:00,0,50,100600
4388-UY,78,0,153,121.517,25.1118,2018/3/12 下午 01:56:34,,50,100600
7816-QK,78,0,294,121.4981,25.1356,2018/3/12 下午 01:56:47,,50,100600
4388-UY,78,0,139,121.5174,25.1111,2018/3/12 下午 01:57:54,11,50,100600
0768-QH,78,0,201,121.4831,25.1147,2018/3/12 下午 01:58:02,0,50,100600
3663-QH,78,0,284,121.5041,25.1377,2018/3/12 下午 01:58:16,0,50,100600
4388-UY,78,0,213,121.5176,25.1106,2018/3/12 下午 01:59:56,10,50,100600
4412-UY,78,0,175,121.5031,25.1325,2018/3/12 下午 02:00:24,0,50,100600
4412-UY,78,0,175,121.5031,25.1325,2018/3/12 下午 02:00:26,,50,100600
