車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
4490-UW,89,0,237,121.4973,25.1374,2018/3/12 下午 02:48:17,11,50,100600
AQX-7631,68,0,358,121.546,25.1512,2018/3/12 下午 02:48:20,0,50,100600
4490-UW,89,0,237,121.4973,25.1374,2018/3/12 下午 02:48:47,0,50,100600
0005-QH,89,0,329,121.5149,25.1101,2018/3/12 下午 02:50:14,49,50,100600
4490-UW,89,0,237,121.4973,25.1374,2018/3/12 下午 02:50:18,11,50,100600
0005-QH,68,0,183,121.5149,25.1101,2018/3/12 下午 02:50:37,0,50,100600
0005-QH,89,0,183,121.5149,25.1101,2018/3/12 下午 02:50:44,0,50,100600
4490-UW,89,0,271,121.4973,25.1374,2018/3/12 下午 02:50:48,0,50,100600
0005-QH,89,0,183,121.5149,25.11,2018/3/12 下午 02:51:14,11,50,100600
3663-QH,68,0,198,121.5029,25.1358,2018/3/12 下午 02:52:47,30,50,100600
5471-YD,68,0,125,121.503,25.1359,2018/3/12 下午 02:58:29,,50,100600
5471-YD,89,0,125,121.503,25.1359,2018/3/12 下午 02:58:59,0,50,100600
AQX-7631,89,0,161,121.546,25.1512,2018/3/12 下午 03:01:31,10,50,100600
AQX-7631,89,0,103,121.5461,25.1513,2018/3/12 下午 03:02:01,15,50,100600
AQX-7631,89,0,103,121.546,25.1513,2018/3/12 下午 03:02:31,10,50,100600
AQX-7631,89,0,103,121.546,25.1513,2018/3/12 下午 03:03:32,0,50,100600
4490-UW,68,0,188,121.5029,25.1358,2018/3/12 下午 03:04:20,87,50,100600
0005-QH,68,0,98,121.5176,25.1055,2018/3/12 下午 03:09:01,10,50,100600
0005-QH,89,0,98,121.5176,25.1055,2018/3/12 下午 03:09:07,0,50,100600
0005-QH,89,0,98,121.5176,25.1055,2018/3/12 下午 03:09:37,0,50,100600
8315-EW,89,0,344,121.5029,25.1359,2018/3/12 下午 03:15:12,37,50,100600
0003-QH,89,0,43,121.5076,25.1253,2018/3/12 下午 03:15:14,120,50,100600
0003-QH,89,0,43,121.5077,25.1253,2018/3/12 下午 03:15:44,10,50,100600
0003-QH,89,0,43,121.5077,25.1252,2018/3/12 下午 03:16:14,12,50,100600
0003-QH,89,0,43,121.5077,25.1252,2018/3/12 下午 03:16:44,0,50,100600
0003-QH,89,0,43,121.5077,25.1252,2018/3/12 下午 03:17:45,0,50,100600
4388-UY,68,0,188,121.503,25.1358,2018/3/12 下午 03:19:17,0,50,100600
4388-UY,68,0,188,121.503,25.1358,2018/3/12 下午 03:19:26,0,50,100600
7816-QK,89,0,87,121.4891,25.1384,2018/3/12 下午 03:19:29,0,50,100600
7816-QK,89,0,87,121.4891,25.1384,2018/3/12 下午 03:19:59,0,50,100600
7816-QK,89,0,87,121.4892,25.1384,2018/3/12 下午 03:20:29,10,50,100600
7816-QK,89,0,87,121.4892,25.1384,2018/3/12 下午 03:20:59,0,50,100600
0003-QH,68,0,186,121.5029,25.1359,2018/3/12 下午 03:22:35,,50,100600
0003-QH,89,0,186,121.503,25.1359,2018/3/12 下午 03:22:45,10,50,100600
0003-QH,89,0,186,121.503,25.1359,2018/3/12 下午 03:23:15,0,50,100600
0005-QH,89,0,7,121.5012,25.1285,2018/3/12 下午 03:26:23,102,50,100600
0005-QH,68,0,7,121.5012,25.1285,2018/3/12 下午 03:26:31,0,50,100600
0005-QH,89,0,7,121.5012,25.1285,2018/3/12 下午 03:26:53,0,50,100600
0005-QH,89,0,7,121.5011,25.1285,2018/3/12 下午 03:27:23,10,50,100600
0005-QH,89,0,310,121.5029,25.1359,2018/3/12 下午 03:34:53,23,50,100600
7816-QK,68,0,213,121.5029,25.1359,2018/3/12 下午 03:50:12,,50,100600
5473-YD,68,0,313,121.5029,25.1359,2018/3/12 下午 04:10:32,0,50,100600
5471-YD,89,0,340,121.4981,25.1436,2018/3/12 下午 04:10:38,191,50,100600
5473-YD,89,0,313,121.503,25.1359,2018/3/12 下午 04:10:53,10,50,100600
5471-YD,89,0,340,121.498,25.1435,2018/3/12 下午 04:11:08,15,50,100600
5473-YD,89,0,313,121.503,25.1359,2018/3/12 下午 04:11:24,0,50,100600
5471-YD,89,0,340,121.498,25.1436,2018/3/12 下午 04:11:38,11,50,100600
5471-YD,89,0,340,121.498,25.1436,2018/3/12 下午 04:12:08,0,50,100600
5471-YD,89,0,340,121.4979,25.1436,2018/3/12 下午 04:12:38,10,50,100600
5471-YD,89,0,340,121.4979,25.1436,2018/3/12 下午 04:13:08,0,50,100600
5471-YD,89,0,340,121.4979,25.1436,2018/3/12 下午 04:13:38,0,50,100600
5471-YD,89,0,340,121.4979,25.1436,2018/3/12 下午 04:14:08,0,50,100600
5470-YD,89,0,33,121.522,25.1132,2018/3/12 下午 04:15:58,24,50,100600
5470-YD,89,0,33,121.522,25.1131,2018/3/12 下午 04:16:28,11,50,100600
5473-YD,68,0,133,121.503,25.1359,2018/3/12 下午 04:16:30,,50,100600
3670-QH,89,0,213,121.5092,25.1146,2018/3/12 下午 04:18:53,0,50,100600
3670-QH,89,0,213,121.5092,25.1145,2018/3/12 下午 04:19:23,11,50,100600
3670-QH,89,0,170,121.5092,25.1145,2018/3/12 下午 04:19:53,0,50,100600
3670-QH,89,0,170,121.5092,25.1145,2018/3/12 下午 04:20:53,0,50,100600
3670-QH,89,0,170,121.5092,25.1145,2018/3/12 下午 04:21:23,0,50,100600
4412-UY,68,0,161,121.503,25.1359,2018/3/12 下午 04:21:25,0,50,100600
3670-QH,89,0,156,121.5149,25.11,2018/3/12 下午 04:27:23,22,50,100600
3670-QH,89,0,156,121.5149,25.11,2018/3/12 下午 04:27:53,0,50,100600
3670-QH,89,0,156,121.5149,25.11,2018/3/12 下午 04:28:23,0,50,100600
3670-QH,89,0,156,121.515,25.11,2018/3/12 下午 04:28:53,10,50,100600
8315-EW,89,0,142,121.5032,25.1359,2018/3/12 下午 04:29:57,23,50,100600
3670-QH,89,0,210,121.5176,25.1055,2018/3/12 下午 04:35:25,10,50,100600
3670-QH,89,0,210,121.5176,25.1055,2018/3/12 下午 04:35:55,0,50,100600
